country_iso3166_alpha3,gtap_country_number,gtap_country_code,gtap_country_group,gtap_country_name,gtap10_country_number,gtap10_country_code,gtap10_country_group,gtap10_country_name,env_ssp_country_code,env_ssp_country_name
"ETH",142,"ETH","Ethiopia","Ethiopia",125,"ETH","Ethiopia","Ethiopia","ETH","Ethiopia, The Federal Democratic Republic of"
"FIN",64,"FIN","Finland","Finland",62,"FIN","Finland","Finland","FIN","Finland, The Republic of"
"FJI",3,"XOC","Rest of Oceania","Fiji",3,"XOC","Rest of Oceania","Fiji","FJI","Fiji, The Republic of"
"FLK",42,"XSM","Rest of South America","Falkland Islands (Malvinas)",41,"XSM","Rest of South America","Falkland Islands (Malvinas)","FLK","Falkland Islands (Malvinas), The"
"FRA",65,"FRA","France","France",63,"FRA","France","France","FRA","French Republic, The"
"FRO",93,"XER","Rest of Europe","Faroe Islands",90,"XER","Rest of Europe","Faroe Islands","FRO","Faeroe Islands, The"
"FSM",3,"XOC","Rest of Oceania","Micronesia (Federated States of)",3,"XOC","Rest of Oceania","Micronesia, Federated States of","FSM","Micronesia, The Federated States of"
"GAB",139,"GAB","Gabon","Gabon",123,"XCF","Rest of Central Africa","Gabon","GAB","Gabonese Republic, The"
"GBR",83,"GBR","United Kingdom","United Kingdom",81,"GBR","United Kingdom","United Kingdom","GBR","United Kingdom of Great Britain and Northern Ireland, The"
"GEO",101,"GEO","Georgia","Georgia",97,"GEO","Georgia","Georgia","GEO","Georgia"
"GGY",93,"XER","Rest of Europe","Guernsey",90,"XER","Rest of Europe","Guernsey","CHI","Channel Islands"
"GHA",126,"GHA","Ghana","Ghana",117,"GHA","Ghana","Ghana","GHA","Ghana, The Republic of"
"GIB",93,"XER","Rest of Europe","Gibraltar",90,"XER","Rest of Europe","Gibraltar","GIB","Gibraltar"
"GIN",127,"GIN","Guinea","Guinea",118,"GIN","Guinea","Guinea","GIN","Guinea, The Republic of"
"GLP",65,"FRA","France","Guadeloupe",63,"FRA","France","Guadeloupe","GLP","Guadeloupe"
"GMB",133,"XWF","Rest of Western Africa","Gambia",122,"XWF","Rest of Western Africa","Gambia","GMB","Gambia, The Republic of the"
"GNB",133,"XWF","Rest of Western Africa","Guinea-Bissau",122,"XWF","Rest of Western Africa","Guinea-Bissau","GNB","Guinea-Bissau, The Republic of"
"GNQ",138,"GNQ","Equatorial Guinea","Equatorial Guinea",123,"XCF","Rest of Central Africa","Equatorial Guinea","GNQ","Equatorial Guinea, The Republic of"
"GRC",67,"GRC","Greece","Greece",65,"GRC","Greece","Greece","GRC","Hellenic Republic, The"
"GRD",55,"XCB","Rest of Caribbean","Grenada",53,"XCB","Rest of Caribbean","Grenada","GRD","Grenada"
"GRL",31,"XNA","Rest of North America","Greenland",30,"XNA","Rest of North America","Greenland","GRL","Greenland"
"GTM",44,"GTM","Guatemala","Guatemala",43,"GTM","Guatemala","Guatemala","GTM","Guatemala, The Republic of"
"GUF",42,"XSM","Rest of South America","French Guiana",41,"XSM","Rest of South America","French Guiana","GUF","French Guiana"
"GUM",3,"XOC","Rest of Oceania","Guam",3,"XOC","Rest of Oceania","Guam","GUM","Guam"
"GUY",42,"XSM","Rest of South America","Guyana",41,"XSM","Rest of South America","Guyana","GUY","Guyana, The Republic of"
"HKG",5,"HKG","Hong Kong, Special Administrative Region of China","Hong Kong, Special Administrative Region of China",5,"HKG","Hong Kong, Special Administrative Region of China","Hong Kong, Special Administrative Region of China","HKG","Hong Kong Special Administrative Region of China, The"
"HND",45,"HND","Honduras","Honduras",44,"HND","Honduras","Honduras","HND","Honduras, The Republic of"
"HRV",59,"HRV","Croatia","Croatia",57,"HRV","Croatia","Croatia","HRV","Croatia, The Republic of"
"HTI",51,"HTI","Haiti","Haiti",53,"XCB","Rest of Caribbean","Haiti","HTI","Haiti, The Republic of"
"HUN",68,"HUN","Hungary","Hungary",66,"HUN","Hungary","Hungary","HUN","Hungary"
"IDN",13,"IDN","Indonesia","Indonesia",13,"IDN","Indonesia","Indonesia","IDN","Indonesia, The Republic of"
"IMN",93,"XER","Rest of Europe","Isle of Man",90,"XER","Rest of Europe","Isle of Man","IMN","Isle of Man"
